2026-05-26 18:02:26 | INFO | access | 请求进入 | method=GET | path=/tools | remote_addr=127.0.0.1
2026-05-26 18:02:26 | INFO | access | 请求结束 | method=GET | path=/tools | status=200
2026-05-26 18:02:26 | INFO | access | 请求进入 | method=GET | path=/static/css/tools.css | remote_addr=127.0.0.1
2026-05-26 18:02:26 | INFO | access | 请求结束 | method=GET | path=/static/css/tools.css | status=304
2026-05-26 18:02:26 | INFO | access | 请求进入 | method=GET | path=/static/js/tools.js | remote_addr=127.0.0.1
2026-05-26 18:02:26 | INFO | access | 请求结束 | method=GET | path=/static/js/tools.js | status=304
2026-05-26 18:02:26 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:02:26 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:02:29 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:02:29 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:02:31 | INFO | access | 请求进入 | method=GET | path=/fastgpt | remote_addr=127.0.0.1
2026-05-26 18:02:31 | INFO | access | 请求结束 | method=GET | path=/fastgpt | status=200
2026-05-26 18:02:31 | INFO | access | 请求进入 | method=GET | path=/static/css/fastgpt.css | remote_addr=127.0.0.1
2026-05-26 18:02:31 | INFO | access | 请求结束 | method=GET | path=/static/css/fastgpt.css | status=304
2026-05-26 18:02:31 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:02:31 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:02:33 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:02:33 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:03:22 | INFO | access | 请求进入 | method=GET | path=/ | remote_addr=127.0.0.1
2026-05-26 18:03:22 | INFO | access | 请求结束 | method=GET | path=/ | status=200
2026-05-26 18:03:22 | INFO | access | 请求进入 | method=GET | path=/static/css/index.css | remote_addr=127.0.0.1
2026-05-26 18:03:22 | INFO | access | 请求结束 | method=GET | path=/static/css/index.css | status=304
2026-05-26 18:03:22 | INFO | access | 请求进入 | method=GET | path=/static/js/index.js | remote_addr=127.0.0.1
2026-05-26 18:03:22 | INFO | access | 请求结束 | method=GET | path=/static/js/index.js | status=304
2026-05-26 18:03:22 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:03:22 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:03:23 | INFO | access | 请求进入 | method=GET | path=/ | remote_addr=127.0.0.1
2026-05-26 18:03:23 | INFO | access | 请求结束 | method=GET | path=/ | status=200
2026-05-26 18:03:23 | INFO | access | 请求进入 | method=GET | path=/static/css/index.css | remote_addr=127.0.0.1
2026-05-26 18:03:23 | INFO | access | 请求结束 | method=GET | path=/static/css/index.css | status=304
2026-05-26 18:03:23 | INFO | access | 请求进入 | method=GET | path=/static/js/index.js | remote_addr=127.0.0.1
2026-05-26 18:03:23 | INFO | access | 请求结束 | method=GET | path=/static/js/index.js | status=304
2026-05-26 18:03:23 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:03:23 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:03:28 | INFO | access | 请求进入 | method=GET | path=/ | remote_addr=127.0.0.1
2026-05-26 18:03:28 | INFO | access | 请求结束 | method=GET | path=/ | status=200
2026-05-26 18:03:28 | INFO | access | 请求进入 | method=GET | path=/static/css/index.css | remote_addr=127.0.0.1
2026-05-26 18:03:28 | INFO | access | 请求进入 | method=GET | path=/static/js/index.js | remote_addr=127.0.0.1
2026-05-26 18:03:28 | INFO | access | 请求结束 | method=GET | path=/static/js/index.js | status=304
2026-05-26 18:03:28 | INFO | access | 请求结束 | method=GET | path=/static/css/index.css | status=304
2026-05-26 18:03:28 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:03:28 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
2026-05-26 18:03:41 | INFO | access | 请求进入 | method=GET | path=/ | remote_addr=127.0.0.1
2026-05-26 18:03:41 | INFO | access | 请求结束 | method=GET | path=/ | status=200
2026-05-26 18:03:41 | INFO | access | 请求进入 | method=GET | path=/static/css/index.css | remote_addr=127.0.0.1
2026-05-26 18:03:41 | INFO | access | 请求结束 | method=GET | path=/static/css/index.css | status=304
2026-05-26 18:03:41 | INFO | access | 请求进入 | method=GET | path=/static/js/index.js | remote_addr=127.0.0.1
2026-05-26 18:03:41 | INFO | access | 请求结束 | method=GET | path=/static/js/index.js | status=304
2026-05-26 18:03:41 | INFO | access | 请求进入 | method=GET | path=/favicon.ico | remote_addr=127.0.0.1
2026-05-26 18:03:41 | INFO | access | 请求结束 | method=GET | path=/favicon.ico | status=500
